DropGroupId,Description,DropPolicy,PickCount,ItemId,Weight,Chance,MinQty,MaxQty,MinStageLevel,MaxStageLevel,IsGuaranteed
DROP_ANUBIS_001,아누비스 드롭 테이블,RollEachWithChance,1,GEN_EQUIP,0,0.3,1,1,1,0,FALSE
DROP_ANUBIS_001,아누비스 드롭 테이블,RollEachWithChance,1,MAT_WEAPON_FRAGMENT,0,0.2,1,1,1,0,FALSE
DROP_ANUBIS_001,아누비스 드롭 테이블,RollEachWithChance,1,ITEM_GOLD_COIN,0,0.7,100,150,1,0,FALSE
DROP_BEAR_001,곰 드롭 테이블,RollEachWithChance,1,GEN_EQUIP_D_C,0,0.2,1,1,10,0,FALSE
DROP_BEAR_001,곰 드롭 테이블,RollEachWithChance,1,MAT_ACCESSORY_FRAGMENT,0,0.2,1,1,1,0,FALSE
DROP_BEAR_001,곰 드롭 테이블,RollEachWithChance,1,ITEM_GOLD_COIN,0,0.7,80,100,1,0,FALSE
DROP_BEETLE_001,딱정벌레 드롭 테이블,RollEachWithChance,1,GEN_EQUIP_D_B,0,0.3,1,1,1,0,FALSE
DROP_BEETLE_001,딱정벌레 드롭 테이블,RollEachWithChance,1,MAT_ARMOR_FRAGMENT,0,0.2,1,1,1,0,FALSE
DROP_BEETLE_001,딱정벌레 드롭 테이블,RollEachWithChance,1,ITEM_GOLD_COIN,0,0.65,60,80,1,0,FALSE
DROP_SCORPION_BLUE_001,푸른전갈 드롭 테이블,RollEachWithChance,1,GEN_EQUIP,0,0.3,1,1,1,0,FALSE
DROP_SCORPION_BLUE_001,푸른전갈 드롭 테이블,RollEachWithChance,1,MAT_ARMOR_FRAGMENT,0,0.2,1,1,1,0,FALSE
DROP_SCORPION_BLUE_001,푸른전갈 드롭 테이블,RollEachWithChance,1,ITEM_GOLD_COIN,0,0.65,120,140,1,0,FALSE
DROP_BLUESLIME_001,블루슬라임 드롭 테이블,RollEachWithChance,1,GEN_EQUIP_D_B,0,0.12,1,1,1,0,FALSE
DROP_BLUESLIME_001,블루슬라임 드롭 테이블,RollEachWithChance,1,MAT_WEAPON_FRAGMENT,0,0.2,1,1,1,0,FALSE
DROP_BLUESLIME_001,블루슬라임 드롭 테이블,RollEachWithChance,1,ITEM_GOLD_COIN,0,0.6,60,80,1,0,FALSE
DROP_SCORPION_BROWN_001,갈색전갈 드롭 테이블,RollEachWithChance,1,GEN_EQUIP,0,0.3,1,1,1,0,FALSE
DROP_SCORPION_BROWN_001,갈색전갈 드롭 테이블,RollEachWithChance,1,MAT_ARMOR_FRAGMENT,0,0.2,1,1,1,0,FALSE
DROP_SCORPION_BROWN_001,갈색전갈 드롭 테이블,RollEachWithChance,1,ITEM_GOLD_COIN,0,0.65,120,140,1,0,FALSE
DROP_COBRA_001,코브라 드롭 테이블,RollEachWithChance,1,GEN_EQUIP,0,0.3,1,1,1,0,FALSE
DROP_COBRA_001,코브라 드롭 테이블,RollEachWithChance,1,MAT_WEAPON_FRAGMENT,0,0.2,1,1,1,0,FALSE
DROP_COBRA_001,코브라 드롭 테이블,RollEachWithChance,1,ITEM_GOLD_COIN,0,0.7,120,140,1,0,FALSE
DROP_CRYSTALGOLEM_001,크리스탈골렘 드롭 테이블,RollEachWithChance,1,GEN_EQUIP,0,0.3,1,1,1,0,FALSE
DROP_CRYSTALGOLEM_001,크리스탈골렘 드롭 테이블,RollEachWithChance,1,MAT_ARMOR_FRAGMENT,0,0.2,1,1,1,0,FALSE
DROP_CRYSTALGOLEM_001,크리스탈골렘 드롭 테이블,RollEachWithChance,1,ITEM_GOLD_COIN,0,0.65,200,300,1,0,FALSE
DROP_GHOST_001,고스트 드롭 테이블,RollEachWithChance,1,GEN_EQUIP,0,0.3,1,1,8,0,FALSE
DROP_GHOST_001,고스트 드롭 테이블,RollEachWithChance,1,MAT_ARMOR_FRAGMENT,0,0.2,1,1,1,0,FALSE
DROP_GHOST_001,고스트 드롭 테이블,RollEachWithChance,1,ITEM_GOLD_COIN,0,0.65,60,80,1,0,FALSE
DROP_GOBLINBOMB_001,폭탄고블린 드롭 테이블,RollEachWithChance,1,GEN_EQUIP,0,0.3,1,1,1,0,FALSE
DROP_GOBLINBOMB_001,폭탄고블린 드롭 테이블,RollEachWithChance,1,MAT_WEAPON_FRAGMENT,0,0.2,1,1,1,0,FALSE
DROP_GOBLINBOMB_001,폭탄고블린 드롭 테이블,RollEachWithChance,1,ITEM_GOLD_COIN,0,0.7,100,120,1,0,FALSE
DROP_GOBLINCART_001,수레고블린 드롭 테이블,RollEachWithChance,1,GEN_EQUIP,0,0.3,1,1,1,0,FALSE
DROP_GOBLINCART_001,수레고블린 드롭 테이블,RollEachWithChance,1,MAT_WEAPON_FRAGMENT,0,0.2,1,1,1,0,FALSE
DROP_GOBLINCART_001,수레고블린 드롭 테이블,RollEachWithChance,1,ITEM_GOLD_COIN,0,0.7,100,120,1,0,FALSE
