DropGroupID,ItemID,Amount,DropRate,Unnamed: 4,Unnamed: 5,Unnamed: 6
string,string,int,int,,,
DROP_STG001_CLEAR_FIRST,ITEM_ARMOR_WARRIOR_B_Equipment,1,0.3,,,
DROP_STG001_CLEAR_FIRST,ITEM_ARMOR_ASSASIN_B_Equipment,1,0.3,,,
DROP_STG001_CLEAR_FIRST,ITEM_ARMOR_WIZARD_B_Equipment,1,0.3,,,
DROP_STG001_CLEAR_REPEAT,ITEM_ARMOR_WARRIOR_C_Equipment,1,0.3,,,
DROP_STG001_CLEAR_REPEAT,ITEM_ARMOR_ASSASIN_C_Equipment,1,0.3,,,
DROP_STG001_CLEAR_REPEAT,ITEM_ARMOR_WIZARD_C_Equipment,1,0.3,,,
DROP_STG002_CLEAR_FIRST,ITEM_ARMOR_WARRIOR_A_Equipment,1,0.3,,,
DROP_STG002_CLEAR_FIRST,ITEM_ARMOR_ASSASIN_A_Equipment,1,0.3,,,
DROP_STG002_CLEAR_FIRST,ITEM_ARMOR_WIZARD_A_Equipment,1,0.3,,,   
DROP_STG002_CLEAR_REPEAT,ITEM_ARMOR_WARRIOR_C_Equipment,1,0.3,,,
DROP_STG002_CLEAR_REPEAT,ITEM_ARMOR_ASSASIN_C_Equipment,1,0.3,,,
DROP_STG002_CLEAR_REPEAT,ITEM_ARMOR_WIZARD_C_Equipment,1,0.3,,,
DROP_STG003_CLEAR_FIRST,ITEM_ARMOR_WARRIOR_S_Equipment,1,0.3,,,
DROP_STG003_CLEAR_FIRST,ITEM_ARMOR_ASSASIN_S_Equipment,1,0.3,,,
DROP_STG003_CLEAR_FIRST,ITEM_ARMOR_WIZARD_S_Equipment,1,0.3,,,
DROP_STG003_CLEAR_REPEAT,ITEM_ARMOR_WARRIOR_B_Equipment,1,0.3,,,
DROP_STG003_CLEAR_REPEAT,ITEM_ARMOR_ASSASIN_B_Equipment,1,0.3,,,
DROP_STG003_CLEAR_REPEAT,ITEM_ARMOR_WIZARD_B_Equipment,1,0.3,,,
